timestamp_s,can_id_hex,dlc,data_hex,signals_json
1780166361.828,0x300,8,02 BE CF 9E 14 C5 67 44,temp=42.00
1780166361.922,0x100,8,00 AA A5 03 30 0B 01 75,speed=0.00
1780166362.017,0x200,8,F6 64 99 3C 5D 7F ED 3D,fuel=100.00
1780166362.108,0x300,8,02 39 34 16 E2 75 23 2B,temp=42.00
1780166362.202,0x100,8,00 F6 1C AA 8C BA F6 47,speed=0.00
1780166362.293,0x200,8,8B 64 07 24 D5 92 A8 B4,fuel=100.00
1780166362.385,0x300,8,02 9A 4D 98 BF 8A C1 31,temp=42.00
1780166362.479,0x100,8,00 6E 95 29 20 88 74 BE,speed=0.00
1780166362.572,0x200,8,BC 64 5F C7 0C 14 C0 9D,fuel=100.00
1780166362.664,0x300,8,02 D8 E1 DD F6 59 DB 79,temp=42.00
1780166362.758,0x100,8,00 DE A6 04 40 26 7C DD,speed=0.00
1780166362.851,0x200,8,EE 64 CB 23 69 7E B1 BC,fuel=100.00
1780166362.943,0x300,8,02 02 E2 D5 6E FD F7 03,temp=42.00
1780166363.036,0x100,8,00 17 78 28 B9 B3 54 33,speed=0.00
1780166363.131,0x200,8,6E 64 9E E9 63 97 D1 4E,fuel=100.00
1780166363.226,0x300,8,02 04 6C DA CF A3 E6 A8,temp=42.00
1780166363.321,0x100,8,00 C8 0A E8 C2 59 90 A5,speed=0.00
1780166363.414,0x200,8,79 64 90 26 FC 00 40 CC,fuel=100.00
1780166363.508,0x300,8,02 3B 89 7C A3 39 D8 E2,temp=42.00
1780166363.601,0x100,8,00 77 90 33 EC 1E 35 E8,speed=0.00
1780166363.695,0x200,8,19 64 CB 19 B4 48 69 32,fuel=100.00
1780166363.789,0x300,8,02 62 05 9E 10 C8 BD 41,temp=42.00
1780166363.884,0x100,8,00 27 58 90 EC 23 51 09,speed=0.00
1780166363.977,0x200,8,63 64 95 A5 7E 4F E3 A3,fuel=100.00
1780166364.069,0x300,8,02 0C 7C F2 08 38 22 B3,temp=42.00
1780166364.160,0x100,8,00 48 2B 99 76 DE 4E C5,speed=0.00
1780166364.253,0x200,8,0B 64 FE 59 DD 11 16 38,fuel=100.00
1780166364.347,0x300,8,02 F7 85 CE 31 3E CC 7A,temp=42.00
1780166364.442,0x100,8,00 9B FC A2 43 B6 CA 51,speed=0.00
1780166364.550,0x200,8,59 64 6C 3E 65 79 4C 51,fuel=100.00
1780166364.657,0x300,8,02 17 6E 78 8F 1F 35 71,temp=42.00
1780166364.753,0x100,8,00 53 94 0F AC 71 2E 4F,speed=0.00
1780166364.815,0x200,8,FB 64 2D 98 35 9F 29 48,fuel=100.00
1780166364.924,0x300,8,02 2B C5 FA D9 7F 62 0D,temp=42.00
1780166365.015,0x100,8,00 74 E1 F1 06 99 FE 5E,speed=0.00
1780166365.108,0x200,8,91 64 C0 CB 58 6A 6C 95,fuel=100.00
1780166365.202,0x300,8,02 13 AB 31 DF 62 BD 96,temp=42.00
1780166365.298,0x100,8,00 2E 7E AF 2D 11 D9 F6,speed=0.00
1780166365.390,0x200,8,27 64 81 75 67 02 5F C5,fuel=100.00
